127.0.0.1 - - [26/Jun/2021:16:37:23 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=5&read_time=3&render_interval=16&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=4&read_time=4&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=19&length=237 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=36&read_time=3&render_interval=36&length=237 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=4&read_time=3&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=4&read_time=18&render_interval=16&length=237 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=16&read_time=15&render_interval=17&length=238 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=16&read_time=3&render_interval=17&length=237 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=5&read_time=3&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=4&read_time=3&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=19&read_time=15&render_interval=19&length=238 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=19&length=237 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=20&read_time=16&render_interval=20&length=238 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.05533188595524474&y=-0.6050241815391217&requesting_number=0_5&data_time=0&render_time=16&read_time=15&render_interval=16&length=282 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.3535531647537167&y=-0.3243579036715887&requesting_number=0_5&data_time=0&render_time=16&read_time=3&render_interval=16&length=280 HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.4083873998876293&y=-0.2931727616863071&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=19&length=280 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.42377946589013105&y=-0.28277771435788&requesting_number=0_5&data_time=0&render_time=19&read_time=16&render_interval=20&length=280 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.43628551951716354&y=-0.2806987048921945&requesting_number=0_5&data_time=0&render_time=16&read_time=16&render_interval=17&length=282 HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.461297626771229&y=-0.2640666291667111&requesting_number=0_5&data_time=0&render_time=16&read_time=15&render_interval=16&length=280 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.4978537835271708&y=-0.24743455344122767&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=19&length=281 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.5093978330290472&y=-0.24119752504417136&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=20&length=281 HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.5103598371542035&y=-0.23911851557848585&requesting_number=0_5&data_time=0&render_time=19&read_time=3&render_interval=19&length=281 HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=4&read_time=4&render_interval=17&length=236 HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=0_5&data_time=0&render_time=5&read_time=4&render_interval=17&length=236 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_name=show_select_component_box_component&event_driver_id=all&component_id=-1 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousedown&operate_component_id=5 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:25 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.6986555815403838,-0.008450431810898945,-0.7154082530867794,0,-0.41307754868376795,0.8116677614709458,-0.41299198994914293,1.8129866073473583e-16,0.584163775970299,0.5840582464026625,0.5635855282502996,1.2819751242557085e-16,0.43000000715255754,0.145,0.043999999999999914,1&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.4940057670265452&y=-0.253671581838284&requesting_number=0_5&data_time=0&render_time=4&read_time=17&render_interval=18&length=279 HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.6311913651271176,-0.07432846521956597,-0.772057471854958,1.8349848020876174e-16,-0.4345749412231066,0.7905952182756105,-0.43139752120367236,8.502634509118716e-17,0.642450061133081,0.6078112207732295,0.46671558668235746,3.130267308985594e-16,0.4300000071525572,0.14500000000000002,0.04399999999999987,0.9999999999999999&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.5328242522326255,-0.16376388186408017,-0.8302287077845178,3.10970044115591e-16,-0.46127163171997226,0.7663204640920747,-0.44719283098468876,8.81233955221485e-17,0.7094552825958361,0.6212361365137367,0.3327744952461772,2.791003916770514e-16,0.4300000071525573,0.14500000000000005,0.04399999999999992,0.9999999999999999&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.43805606055746066,-0.24328442060906397,-0.8654013973283088,4.374129848368359e-16,-0.47807423807228017,0.7522098996558835,-0.45345924817043193,2.5544671518439475e-16,0.7612830687073543,0.6123666855313056,0.21320209133804457,1.3820354100058048e-16,0.4300000071525573,0.14500000000000002,0.04399999999999987,1&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.34058537829171703,-0.3182864929328564,-0.8847006886571244,5.055603876445295e-16,-0.4910592277908399,0.7422032766839377,-0.45606483188367924,4.246869196870724e-16,0.801787025896123,0.5897694502906438,0.09648606432288735,2.7800901740513527e-16,0.4300000071525575,0.14500000000000007,0.04399999999999983,1&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.25831475636323686&y=-0.3680171024509826&requesting_number=0_5&data_time=0&render_time=16&read_time=14&render_interval=18&length=282 HTTP/1.1" 200 204
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.22116113390195677,-0.40060649904074025,-0.8891581331672798,3.9636123984823447e-16,-0.4944376631792529,0.7398113924795,-0.45630088843588784,4.012955083698938e-16,0.8406064180584393,0.5405492914470085,-0.03445741480577385,4.4295883023827417e-16,0.4300000071525575,0.14499999999999996,0.043999999999999914,0.9999999999999998&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.16403835209791362&y=-0.3721751213823534&requesting_number=0_5&data_time=0&render_time=16&read_time=12&render_interval=17&length=282 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.1274795200323545,-0.4575629136590568,-0.879991563605103,2.549516868738882e-16,-0.4944376631792528,0.7398113924794997,-0.45630088843588806,4.465973230009334e-16,0.8598141480588467,0.4932699905745085,-0.13192553655932043,3.748618476582827e-16,0.4300000071525576,0.14499999999999988,0.04399999999999992,0.9999999999999998&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=0.053860195120794874,-0.4978734028564045,-0.8655756200989793,1.5842316172809676e-16,-0.49443766317925303,0.7398113924794995,-0.456300888435888,3.959377477510896e-16,0.8675427808537105,0.452549641791622,-0.2063209759158917,3.6134911149690657e-16,0.4300000071525576,0.14499999999999993,0.04399999999999993,1.0000000000000002&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.10054607983759367&requesting_number=0_5&data_time=0&render_time=15&read_time=15&render_interval=16&length=260 HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=-0.03448674044495819,-0.5413984715028313,-0.8400585454525643,-2.8266545500493474e-17,-0.499843268409513,0.7372204457429019,-0.45460171733543786,3.392196535810585e-16,0.8654290102366442,0.4042198775827724,-0.2960387116709431,2.3037478761677346e-16,0.4300000071525575,0.1449999999999999,0.043999999999999866,0.9999999999999998&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=0.03224378695149199&y=-0.37841214977940973&requesting_number=0_5&data_time=0&render_time=15&read_time=15&render_interval=16&length=283 HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=-0.1275670568696418,-0.5818136323858564,-0.803255590190066,-3.601197264811065e-17,-0.4998432684095126,0.737220445742902,-0.4546017173354378,7.406778135967853e-16,0.8566699206971803,0.34350969644044843,-0.3848606701445063,3.077323940323359e-17,0.4300000071525574,0.1449999999999999,0.043999999999999824,0.9999999999999996&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=-0.24851260117145862,-0.6248795003866113,-0.7401128948042809,-1.2192284762614487e-17,-0.4998432684095125,0.7372204457429018,-0.4546017173354375,8.868700918999016e-16,0.8296976522111476,0.2569661930589561,-0.49555038244369987,9.306319200872062e-17,0.4300000071525573,0.1449999999999999,0.04399999999999985,0.9999999999999996&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.06299462143898771&requesting_number=0_5&data_time=0&render_time=16&read_time=15&render_interval=17&length=261 HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=35&event_driver_id=0&event_operation=mousemove&distance=1.375853556903794&half_fovy_tanl=0.41421356237309503&data=-0.4821990805956334,-0.6781802055156674,-0.5545770059418725,1.3015160519709067e-17,-0.5345825374608262,0.7292949981638642,-0.42702495980341604,1.046730089386976e-15,0.6940501115299025,0.09055614004523929,-0.714208672717882,1.4097280270199063e-16,0.4300000071525575,0.14500000000000002,0.043999999999999824,0.9999999999999996&clip_plane_modification=0&operate_component_id=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [26/Jun/2021:16:38:26 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.2698255083476052&y=-0.4428614432156581&requesting_number=0_5&data_time=0&render_time=16&read_time=15&render_interval=16&length=282 HTTP/1.1" 200 212
